,x,y,y21,y10,y18,y15,No. of ideal func,Delta Y (test func)
68,-9.2,168.83574,-778.688,2.0505872,169.28,7.6,y18,0.44
69,-17.0,-15.918177,-4913.0,-16.343758,578.0,11.5,y10,0.43
70,12.7,-1025.7686,2048.383,1.6920469,322.58,-3.35,,
71,16.6,4574.033,4574.296,-12.920645,551.12,-5.3,y21,0.26
72,-13.7,10.661784,-2571.353,12.41158,375.38,9.85,,
73,-12.2,-4.253114,-1815.848,-4.370397,297.68,9.1,y10,0.12
74,-19.8,13.941636,-7762.392,16.11074,784.08,12.9,,
75,7.2,373.30264,373.248,5.7144084,103.68,-0.6,y21,0.05
76,3.8,2.4690886,54.872,-2.32506,28.88,1.1,,
77,5.1,51.373844,132.651,-4.721655,52.02,0.45,y18,0.65
78,-17.9,-15.681499,-5735.339,-14.555512,640.82,11.95,,
79,-16.2,-4251.7812,-4251.528,-7.6532364,524.88,11.1,y21,0.25
80,7.6,8.058219,438.976,7.3561897,115.52,-0.8,y10,0.7
81,17.6,-17.877499,5451.776,-16.699663,619.52,-5.8,,
82,-15.2,-3510.5105,-3511.808,7.39326,462.08,10.6,,
83,-11.8,9.645496,-1643.032,-8.183596,278.48,8.9,,
84,-16.6,-4575.1416,-4574.296,-12.920645,551.12,11.3,,
85,-1.1,-6514.1675,-1.331,0.9803281,2.42,3.55,,
86,18.1,-262.50906,5929.741,-12.3317795,655.22,-6.05,,
87,-4.6,-4.14483,-97.336,-4.5709786,42.32,5.3,y10,0.43
88,-7.5,111.71506,-421.875,7.035,112.5,6.75,,
89,19.5,5441.495,7414.875,11.808027,760.5,-6.75,,
90,-11.0,-1329.7369,-1331.0,-10.999892,242.0,8.5,,
91,-4.4,-4.400857,-85.184,-4.187049,38.72,5.2,y10,0.21
92,-12.2,10.080126,-1815.848,-4.370397,297.68,9.1,,
93,-6.0,6.2989535,-216.0,-1.676493,72.0,6.0,y15,0.3
94,9.2,3.029057,778.688,2.0505872,169.28,-1.6,,
95,12.1,-2.8649914,1771.561,-5.4407344,292.82,-3.05,y15,0.19
96,6.5,0.3892698,274.625,1.3982799,84.5,-0.25,y15,0.64
97,-19.9,11.978658,-7880.599,17.266117,792.02,12.95,,
98,0.2,-1.0040362,0.008,0.039733864,0.08,2.9,,
99,1.8,1.9268895,5.832,1.7529258,6.48,2.1,y15,0.17
